,metabolite,intensity,temperature,strain
105,"butane-2,3-diol NIST",1153,30,datg32
106,biphenyl,547,30,datg32
107,beta-mannosylglycerate,930,30,datg32
108,beta-glycerolphosphate,505,30,datg32
109,aspartic acid,94237,30,datg32
110,asparagine,20052,30,datg32
111,arachidic acid,3112,30,datg32
112,aminomalonate,3459,30,datg32
113,alpha-ketoglutarate,95,30,datg32
114,allothreonine,10870,30,datg32
115,alanine-alanine,3916,30,datg32
116,alanine,515272,30,datg32
117,adrenaline,2019,30,datg32
118,adenosine-5-monophosphate,11698,30,datg32
119,adenosine,10846,30,datg32
120,adenine,5047,30,datg32
121,aconitic acid,424,30,datg32
122,5-methoxytryptamine,1043,30,datg32
123,5'-deoxy-5'-methylthioadenosine,385,30,datg32
124,4-aminobutyric acid,2019,30,datg32
125,3-phosphoglycerate,1721,30,datg32
126,3-hydroxy-3-methylglutaric acid,323,30,datg32
127,3-aminoisobutyric acid,707,30,datg32
128,2-methylglyceric acid NIST,5274,30,datg32
129,2-hydroxyglutaric acid,425,30,datg32
130,"2,5-dihydroxypyrazine NIST",1397,30,datg32
0,xanthine,985,30,datg32
1,valine,394310,30,datg32
2,uridine-5'-monophosphate,3237,30,datg32
3,uridine,283,30,datg32
4,urea,14824,30,datg32
5,uracil,6138,30,datg32
6,UDP-N-acetylglucosamine,455,30,datg32
7,tyrosol,1051,30,datg32
8,tyrosine,138008,30,datg32
9,tryptophan,23377,30,datg32
10,trehalose-6-phosphate,561,30,datg32
11,trehalose,977112,30,datg32
12,trans-4-hydroxyproline,11000,30,datg32
13,thymine,492,30,datg32
14,threonine,95749,30,datg32
15,sulfuric acid,3828,30,datg32
16,sucrose,378,30,datg32
17,succinic acid,30445,30,datg32
18,stearic acid,183097,30,datg32
19,spermidine,4596,30,datg32
20,sorbitol,787,30,datg32
21,serine,160463,30,datg32
22,saccharopine,17860,30,datg32
23,ribonic acid,472,30,datg32
24,ribitol,718,30,datg32
25,pyruvic acid,669,30,datg32
26,pyrophosphate ,100519,30,datg32
27,putrescine,1555,30,datg32
28,pseudo uridine,1048,30,datg32
29,"propane-1,3-diol NIST",558,30,datg32
30,proline,557545,30,datg32
31,pipecolinic acid,4238,30,datg32
32,phosphogluconic acid,968,30,datg32
33,phosphoenolpyruvate,985,30,datg32
34,phosphate,25783,30,datg32
35,phenylalanine,129575,30,datg32
36,pentadecanoic acid,1990,30,datg32
37,pelargonic acid,21079,30,datg32
38,parabanic acid NIST,2440,30,datg32
39,palmitoleic acid,7172,30,datg32
40,palmitic acid,30029,30,datg32
41,oxoproline,334297,30,datg32
42,oxalic acid,406,30,datg32
43,orotic acid,10281,30,datg32
44,ornithine,265283,30,datg32
45,oleic acid,2037,30,datg32
46,N-methylalanine,11647,30,datg32
47,nicotinic acid,3761,30,datg32
48,nicotinamide,1833,30,datg32
49,n-epsilon-trimethyllysine,732,30,datg32
50,N-carbamylglutamate,614,30,datg32
51,myristic acid,1154,30,datg32
52,myo-inositol,8563,30,datg32
53,methionine sulfoxide,26114,30,datg32
54,methionine,18345,30,datg32
55,methanolphosphate,11279,30,datg32
56,malic acid,9572,30,datg32
57,maleimide,3995,30,datg32
58,lysine,799608,30,datg32
59,levoglucosan,548,30,datg32
60,leucine,520583,30,datg32
61,lauric acid,4782,30,datg32
62,lactulose,530,30,datg32
63,lactic acid,1206,30,datg32
64,isothreonic acid,1474,30,datg32
65,isoleucine,308843,30,datg32
66,isocitric acid,1744,30,datg32
67,inositol-4-monophosphate,695,30,datg32
68,inosine,378,30,datg32
69,hydroxylamine,17157,30,datg32
70,hydroxycarbamate NIST,1624,30,datg32
71,homoserine,1196,30,datg32
72,histidine,109375,30,datg32
73,hexose-6-phosphate,666,30,datg32
74,heptadecanoic acid,1249,30,datg32
75,guanosine,919,30,datg32
76,guanine,945,30,datg32
77,glycyl-proline,1427,30,datg32
78,glycyl tyrosine,891,30,datg32
79,glycolic acid,1107,30,datg32
80,glycine,116644,30,datg32
81,glycerol-alpha-phosphate,46108,30,datg32
82,glycerol-3-galactoside,1065,30,datg32
83,glycerol,440839,30,datg32
84,glyceric acid,1958,30,datg32
85,glutamine,136330,30,datg32
86,glutamic acid,624560,30,datg32
87,glucose-6-phosphate,2150,30,datg32
88,glucose-1-phosphate,2070,30,datg32
89,glucose,3592,30,datg32
90,gluconic acid,266,30,datg32
91,galactose,426,30,datg32
92,galactinol,16215,30,datg32
93,fumaric acid,9972,30,datg32
94,fructose-6-phosphate,1101,30,datg32
95,fructose,291,30,datg32
96,ethanol phosphate NIST,1553,30,datg32
97,ergosterol,814,30,datg32
98,cytidine-5-monophosphate,736,30,datg32
99,cysteine-glycine,2605,30,datg32
100,cysteine,2673,30,datg32
101,conduritol-beta-epoxide,326,30,datg32
102,citrulline,14856,30,datg32
103,citric acid,127700,30,datg32
104,butyrolactam NIST,1918,30,datg32
105,"butane-2,3-diol NIST",785,30,datg32
106,biphenyl,782,30,datg32
107,beta-mannosylglycerate,1046,30,datg32
108,beta-glycerolphosphate,779,30,datg32
109,aspartic acid,94838,30,datg32
110,asparagine,21201,30,datg32
111,arachidic acid,2821,30,datg32
112,aminomalonate,4937,30,datg32
113,alpha-ketoglutarate,774,30,datg32
114,allothreonine,16268,30,datg32
115,alanine-alanine,3534,30,datg32
116,alanine,818986,30,datg32
117,adrenaline,1786,30,datg32
118,adenosine-5-monophosphate,17860,30,datg32
119,adenosine,4230,30,datg32
120,adenine,4774,30,datg32
121,aconitic acid,609,30,datg32
122,5-methoxytryptamine,1158,30,datg32
123,5'-deoxy-5'-methylthioadenosine,675,30,datg32
124,4-aminobutyric acid,2498,30,datg32
125,3-phosphoglycerate,1903,30,datg32
126,3-hydroxy-3-methylglutaric acid,260,30,datg32
127,3-aminoisobutyric acid,655,30,datg32
128,2-methylglyceric acid NIST,4896,30,datg32
129,2-hydroxyglutaric acid,590,30,datg32
130,"2,5-dihydroxypyrazine NIST",1972,30,datg32
0,xanthine,432,37,WT
1,valine,355424,37,WT
2,uridine-5'-monophosphate,1937,37,WT
3,uridine,349,37,WT
4,urea,11307,37,WT
5,uracil,4138,37,WT
6,UDP-N-acetylglucosamine,599,37,WT
7,tyrosol,802,37,WT
8,tyrosine,161248,37,WT
9,tryptophan,22939,37,WT
10,trehalose-6-phosphate,392,37,WT
11,trehalose,615245,37,WT
12,trans-4-hydroxyproline,8579,37,WT
13,thymine,430,37,WT
14,threonine,88473,37,WT
15,sulfuric acid,570,37,WT
16,sucrose,1971,37,WT
17,succinic acid,11205,37,WT
18,stearic acid,131880,37,WT
19,spermidine,2868,37,WT
20,sorbitol,547,37,WT
21,serine,129415,37,WT
22,saccharopine,20086,37,WT
23,ribonic acid,342,37,WT
24,ribitol,425,37,WT
25,pyruvic acid,388,37,WT
26,pyrophosphate ,96234,37,WT
27,putrescine,1583,37,WT
28,pseudo uridine,870,37,WT
29,"propane-1,3-diol NIST",453,37,WT
30,proline,397312,37,WT
31,pipecolinic acid,3518,37,WT
32,phosphogluconic acid,599,37,WT
33,phosphoenolpyruvate,602,37,WT
34,phosphate,30844,37,WT
35,phenylalanine,125844,37,WT
36,pentadecanoic acid,1473,37,WT
37,pelargonic acid,13886,37,WT
38,parabanic acid NIST,2614,37,WT
39,palmitoleic acid,2271,37,WT
40,palmitic acid,20917,37,WT
41,oxoproline,271563,37,WT
42,oxalic acid,261,37,WT
43,orotic acid,911,37,WT
44,ornithine,384576,37,WT
45,oleic acid,403,37,WT
46,N-methylalanine,5844,37,WT
47,nicotinic acid,2500,37,WT
48,nicotinamide,899,37,WT
49,n-epsilon-trimethyllysine,794,37,WT
50,N-carbamylglutamate,283,37,WT
51,myristic acid,745,37,WT
52,myo-inositol,11863,37,WT
53,methionine sulfoxide,31087,37,WT
54,methionine,15823,37,WT
55,methanolphosphate,10119,37,WT
56,malic acid,7326,37,WT
57,maleimide,5437,37,WT
58,lysine,1078054,37,WT
59,levoglucosan,503,37,WT
60,leucine,359656,37,WT
61,lauric acid,3006,37,WT
62,lactulose,288,37,WT
63,lactic acid,1345,37,WT
64,isothreonic acid,1379,37,WT
65,isoleucine,397640,37,WT
66,isocitric acid,1977,37,WT
67,inositol-4-monophosphate,403,37,WT
68,inosine,594,37,WT
69,hydroxylamine,13164,37,WT
70,hydroxycarbamate NIST,1220,37,WT
71,homoserine,748,37,WT
72,histidine,148821,37,WT
73,hexose-6-phosphate,390,37,WT
74,heptadecanoic acid,771,37,WT
75,guanosine,819,37,WT
76,guanine,762,37,WT
77,glycyl-proline,2083,37,WT
78,glycyl tyrosine,780,37,WT
79,glycolic acid,980,37,WT
80,glycine,109021,37,WT
81,glycerol-alpha-phosphate,40783,37,WT
82,glycerol-3-galactoside,533,37,WT
83,glycerol,1224622,37,WT
84,glyceric acid,1525,37,WT
85,glutamine,86265,37,WT
86,glutamic acid,563112,37,WT
87,glucose-6-phosphate,586,37,WT
88,glucose-1-phosphate,969,37,WT
89,glucose,2035,37,WT
90,gluconic acid,214,37,WT
91,galactose,1333,37,WT
92,galactinol,7989,37,WT
93,fumaric acid,7060,37,WT
94,fructose-6-phosphate,491,37,WT
95,fructose,193,37,WT
96,ethanol phosphate NIST,1499,37,WT
97,ergosterol,902,37,WT
98,cytidine-5-monophosphate,399,37,WT
99,cysteine-glycine,1186,37,WT
100,cysteine,1468,37,WT
101,conduritol-beta-epoxide,258,37,WT
102,citrulline,11089,37,WT
103,citric acid,170836,37,WT
104,butyrolactam NIST,2193,37,WT
105,"butane-2,3-diol NIST",578,37,WT
106,biphenyl,1022,37,WT
107,beta-mannosylglycerate,1413,37,WT
108,beta-glycerolphosphate,240,37,WT
109,aspartic acid,91908,37,WT
110,asparagine,19736,37,WT
111,arachidic acid,1822,37,WT
112,aminomalonate,4060,37,WT
113,alpha-ketoglutarate,313,37,WT
114,allothreonine,4951,37,WT
115,alanine-alanine,2647,37,WT
116,alanine,572752,37,WT
117,adrenaline,1516,37,WT
118,adenosine-5-monophosphate,12512,37,WT
119,adenosine,3244,37,WT
120,adenine,4795,37,WT
121,aconitic acid,632,37,WT
122,5-methoxytryptamine,1320,37,WT
123,5'-deoxy-5'-methylthioadenosine,502,37,WT
124,4-aminobutyric acid,3864,37,WT
125,3-phosphoglycerate,1266,37,WT
126,3-hydroxy-3-methylglutaric acid,322,37,WT
127,3-aminoisobutyric acid,260,37,WT
128,2-methylglyceric acid NIST,3867,37,WT
129,2-hydroxyglutaric acid,569,37,WT
130,"2,5-dihydroxypyrazine NIST",1131,37,WT
0,xanthine,1046,37,WT
1,valine,307624,37,WT
2,uridine-5'-monophosphate,2557,37,WT
3,uridine,369,37,WT
4,urea,13885,37,WT
5,uracil,3599,37,WT
6,UDP-N-acetylglucosamine,1022,37,WT
7,tyrosol,2785,37,WT
8,tyrosine,162292,37,WT
9,tryptophan,9720,37,WT
10,trehalose-6-phosphate,459,37,WT
11,trehalose,712302,37,WT
12,trans-4-hydroxyproline,7995,37,WT
13,thymine,372,37,WT
14,threonine,94940,37,WT
15,sulfuric acid,636,37,WT
16,sucrose,199,37,WT
17,succinic acid,8963,37,WT
18,stearic acid,154388,37,WT
19,spermidine,3684,37,WT
20,sorbitol,388,37,WT
21,serine,119914,37,WT
22,saccharopine,35167,37,WT
23,ribonic acid,398,37,WT
24,ribitol,404,37,WT
25,pyruvic acid,248,37,WT
26,pyrophosphate ,130797,37,WT
27,putrescine,1862,37,WT
28,pseudo uridine,878,37,WT
29,"propane-1,3-diol NIST",273,37,WT
30,proline,396128,37,WT
31,pipecolinic acid,2592,37,WT
32,phosphogluconic acid,590,37,WT
33,phosphoenolpyruvate,760,37,WT
34,phosphate,35126,37,WT
35,phenylalanine,112169,37,WT
36,pentadecanoic acid,1382,37,WT
37,pelargonic acid,11560,37,WT
38,parabanic acid NIST,1844,37,WT
39,palmitoleic acid,2211,37,WT
40,palmitic acid,22945,37,WT
41,oxoproline,250746,37,WT
42,oxalic acid,182,37,WT
43,orotic acid,452,37,WT
44,ornithine,357019,37,WT
45,oleic acid,626,37,WT
46,N-methylalanine,4822,37,WT
47,nicotinic acid,2770,37,WT
48,nicotinamide,1029,37,WT
49,n-epsilon-trimethyllysine,788,37,WT
50,N-carbamylglutamate,249,37,WT
51,myristic acid,990,37,WT
52,myo-inositol,17431,37,WT
53,methionine sulfoxide,42976,37,WT
54,methionine,7201,37,WT
55,methanolphosphate,17641,37,WT
56,malic acid,12507,37,WT
57,maleimide,3154,37,WT
58,lysine,1010001,37,WT
59,levoglucosan,631,37,WT
60,leucine,313493,37,WT
61,lauric acid,5286,37,WT
62,lactulose,399,37,WT
63,lactic acid,724,37,WT
64,isothreonic acid,1635,37,WT
65,isoleucine,372497,37,WT
66,isocitric acid,3840,37,WT
67,inositol-4-monophosphate,94,37,WT
68,inosine,516,37,WT
69,hydroxylamine,7171,37,WT
70,hydroxycarbamate NIST,1051,37,WT
71,homoserine,879,37,WT
72,histidine,153222,37,WT
73,hexose-6-phosphate,277,37,WT
74,heptadecanoic acid,1223,37,WT
75,guanosine,944,37,WT
76,guanine,627,37,WT
77,glycyl-proline,2255,37,WT
78,glycyl tyrosine,852,37,WT
79,glycolic acid,1017,37,WT
80,glycine,112754,37,WT
81,glycerol-alpha-phosphate,59581,37,WT
82,glycerol-3-galactoside,579,37,WT
83,glycerol,991168,37,WT
84,glyceric acid,1460,37,WT
85,glutamine,148312,37,WT
86,glutamic acid,633424,37,WT
87,glucose-6-phosphate,117,37,WT
88,glucose-1-phosphate,1307,37,WT
89,glucose,6947,37,WT
90,gluconic acid,201,37,WT
91,galactose,5552,37,WT
92,galactinol,10229,37,WT
93,fumaric acid,10898,37,WT
94,fructose-6-phosphate,331,37,WT
95,fructose,115,37,WT
96,ethanol phosphate NIST,1621,37,WT
97,ergosterol,1242,37,WT
98,cytidine-5-monophosphate,381,37,WT
99,cysteine-glycine,1571,37,WT
100,cysteine,1670,37,WT
101,conduritol-beta-epoxide,252,37,WT
102,citrulline,11404,37,WT
103,citric acid,347266,37,WT
104,butyrolactam NIST,1484,37,WT
105,"butane-2,3-diol NIST",884,37,WT
106,biphenyl,948,37,WT
107,beta-mannosylglycerate,2276,37,WT
108,beta-glycerolphosphate,696,37,WT
109,aspartic acid,75102,37,WT
110,asparagine,19296,37,WT
111,arachidic acid,1618,37,WT
112,aminomalonate,6336,37,WT
113,alpha-ketoglutarate,1154,37,WT
114,allothreonine,6590,37,WT
115,alanine-alanine,2514,37,WT
116,alanine,536571,37,WT
117,adrenaline,1296,37,WT
118,adenosine-5-monophosphate,14902,37,WT
119,adenosine,4163,37,WT
120,adenine,7403,37,WT
121,aconitic acid,997,37,WT
122,5-methoxytryptamine,1602,37,WT
123,5'-deoxy-5'-methylthioadenosine,483,37,WT
124,4-aminobutyric acid,2759,37,WT
125,3-phosphoglycerate,1696,37,WT
126,3-hydroxy-3-methylglutaric acid,229,37,WT
127,3-aminoisobutyric acid,77,37,WT
128,2-methylglyceric acid NIST,3733,37,WT
129,2-hydroxyglutaric acid,741,37,WT
130,"2,5-dihydroxypyrazine NIST",1001,37,WT
0,xanthine,1429,37,WT
1,valine,405760,37,WT
2,uridine-5'-monophosphate,902,37,WT
3,uridine,696,37,WT
4,urea,9182,37,WT
5,uracil,4757,37,WT
6,UDP-N-acetylglucosamine,337,37,WT
7,tyrosol,1231,37,WT
8,tyrosine,194535,37,WT
9,tryptophan,15927,37,WT
10,trehalose-6-phosphate,253,37,WT
11,trehalose,575954,37,WT
12,trans-4-hydroxyproline,12469,37,WT
13,thymine,257,37,WT
14,threonine,99223,37,WT
15,sulfuric acid,828,37,WT
16,sucrose,323,37,WT
17,succinic acid,16170,37,WT
18,stearic acid,150380,37,WT
19,spermidine,4803,37,WT
20,sorbitol,447,37,WT
21,serine,143275,37,WT
22,saccharopine,11998,37,WT
23,ribonic acid,513,37,WT
24,ribitol,565,37,WT
25,pyruvic acid,505,37,WT
26,pyrophosphate ,17026,37,WT
27,putrescine,3029,37,WT
28,pseudo uridine,511,37,WT
29,"propane-1,3-diol NIST",436,37,WT
30,proline,306544,37,WT
31,pipecolinic acid,3221,37,WT
32,phosphogluconic acid,603,37,WT
33,phosphoenolpyruvate,297,37,WT
34,phosphate,15622,37,WT
35,phenylalanine,175825,37,WT
36,pentadecanoic acid,1683,37,WT
37,pelargonic acid,14272,37,WT
38,parabanic acid NIST,2200,37,WT
39,palmitoleic acid,2818,37,WT
40,palmitic acid,21861,37,WT
41,oxoproline,381414,37,WT
42,oxalic acid,151,37,WT
43,orotic acid,1058,37,WT
44,ornithine,358051,37,WT
45,oleic acid,795,37,WT
46,N-methylalanine,3354,37,WT
47,nicotinic acid,6151,37,WT
48,nicotinamide,761,37,WT
49,n-epsilon-trimethyllysine,512,37,WT
50,N-carbamylglutamate,426,37,WT
51,myristic acid,1143,37,WT
52,myo-inositol,9603,37,WT
53,methionine sulfoxide,61838,37,WT
54,methionine,9589,37,WT
55,methanolphosphate,6489,37,WT
56,malic acid,4812,37,WT
57,maleimide,10028,37,WT
58,lysine,853355,37,WT
59,levoglucosan,569,37,WT
60,leucine,366268,37,WT
61,lauric acid,2849,37,WT
62,lactulose,550,37,WT
63,lactic acid,2597,37,WT
64,isothreonic acid,3033,37,WT
65,isoleucine,501990,37,WT
66,isocitric acid,1109,37,WT
67,inositol-4-monophosphate,349,37,WT
68,inosine,534,37,WT
69,hydroxylamine,13594,37,WT
70,hydroxycarbamate NIST,984,37,WT
71,homoserine,1266,37,WT
72,histidine,118967,37,WT
73,hexose-6-phosphate,261,37,WT
74,heptadecanoic acid,1262,37,WT
75,guanosine,1673,37,WT
76,guanine,1066,37,WT
77,glycyl-proline,3169,37,WT
78,glycyl tyrosine,856,37,WT
79,glycolic acid,1945,37,WT
80,glycine,110247,37,WT
81,glycerol-alpha-phosphate,29519,37,WT
82,glycerol-3-galactoside,311,37,WT
83,glycerol,1272143,37,WT
84,glyceric acid,6024,37,WT
85,glutamine,45023,37,WT
86,glutamic acid,459445,37,WT
87,glucose-6-phosphate,343,37,WT
88,glucose-1-phosphate,734,37,WT
89,glucose,22354,37,WT
90,gluconic acid,287,37,WT
91,galactose,19207,37,WT
92,galactinol,6488,37,WT
93,fumaric acid,7223,37,WT
94,fructose-6-phosphate,331,37,WT
95,fructose,134,37,WT
96,ethanol phosphate NIST,1164,37,WT
97,ergosterol,315,37,WT
98,cytidine-5-monophosphate,387,37,WT
99,cysteine-glycine,1456,37,WT
100,cysteine,1409,37,WT
101,conduritol-beta-epoxide,262,37,WT
102,citrulline,10384,37,WT
103,citric acid,71130,37,WT
104,butyrolactam NIST,2342,37,WT
105,"butane-2,3-diol NIST",1324,37,WT
106,biphenyl,847,37,WT
107,beta-mannosylglycerate,1052,37,WT
108,beta-glycerolphosphate,531,37,WT
109,aspartic acid,123104,37,WT
110,asparagine,23202,37,WT
111,arachidic acid,2673,37,WT
112,aminomalonate,3000,37,WT
113,alpha-ketoglutarate,294,37,WT
114,allothreonine,534,37,WT
115,alanine-alanine,3235,37,WT
116,alanine,788818,37,WT
117,adrenaline,2391,37,WT
118,adenosine-5-monophosphate,8883,37,WT
119,adenosine,10995,37,WT
120,adenine,3621,37,WT
121,aconitic acid,326,37,WT
122,5-methoxytryptamine,1262,37,WT
123,5'-deoxy-5'-methylthioadenosine,265,37,WT
124,4-aminobutyric acid,1414,37,WT
125,3-phosphoglycerate,422,37,WT
126,3-hydroxy-3-methylglutaric acid,295,37,WT
127,3-aminoisobutyric acid,274,37,WT
128,2-methylglyceric acid NIST,8278,37,WT
129,2-hydroxyglutaric acid,640,37,WT
130,"2,5-dihydroxypyrazine NIST",1194,37,WT
0,xanthine,957,37,WT
1,valine,323765,37,WT
2,uridine-5'-monophosphate,1506,37,WT
3,uridine,405,37,WT
4,urea,9582,37,WT
5,uracil,4152,37,WT
6,UDP-N-acetylglucosamine,307,37,WT
7,tyrosol,879,37,WT
8,tyrosine,159977,37,WT
9,tryptophan,10897,37,WT
10,trehalose-6-phosphate,516,37,WT
11,trehalose,813176,37,WT
12,trans-4-hydroxyproline,7586,37,WT
13,thymine,431,37,WT
14,threonine,72709,37,WT
15,sulfuric acid,2387,37,WT
16,sucrose,146,37,WT
17,succinic acid,6947,37,WT
18,stearic acid,176168,37,WT
19,spermidine,1887,37,WT
20,sorbitol,711,37,WT
21,serine,108044,37,WT
22,saccharopine,22207,37,WT
23,ribonic acid,293,37,WT
24,ribitol,413,37,WT
25,pyruvic acid,307,37,WT
26,pyrophosphate ,34497,37,WT
27,putrescine,1782,37,WT
28,pseudo uridine,989,37,WT
29,"propane-1,3-diol NIST",210,37,WT
30,proline,296399,37,WT
31,pipecolinic acid,1935,37,WT
32,phosphogluconic acid,469,37,WT
33,phosphoenolpyruvate,530,37,WT
34,phosphate,26338,37,WT
35,phenylalanine,118481,37,WT
36,pentadecanoic acid,1186,37,WT
37,pelargonic acid,18248,37,WT
38,parabanic acid NIST,1313,37,WT
39,palmitoleic acid,3349,37,WT
40,palmitic acid,25069,37,WT
41,oxoproline,235798,37,WT
42,oxalic acid,203,37,WT
43,orotic acid,1222,37,WT
44,ornithine,315399,37,WT
45,oleic acid,354,37,WT
46,N-methylalanine,3549,37,WT
47,nicotinic acid,2711,37,WT
48,nicotinamide,885,37,WT
49,n-epsilon-trimethyllysine,636,37,WT
50,N-carbamylglutamate,402,37,WT
51,myristic acid,985,37,WT
52,myo-inositol,11198,37,WT
53,methionine sulfoxide,49537,37,WT
54,methionine,2777,37,WT
55,methanolphosphate,11351,37,WT
56,malic acid,6354,37,WT
57,maleimide,4736,37,WT
58,lysine,1205338,37,WT
59,levoglucosan,248,37,WT
60,leucine,480984,37,WT
61,lauric acid,6212,37,WT
62,lactulose,743,37,WT
63,lactic acid,1157,37,WT
64,isothreonic acid,1818,37,WT
65,isoleucine,291791,37,WT
66,isocitric acid,1722,37,WT
67,inositol-4-monophosphate,207,37,WT
68,inosine,382,37,WT
69,hydroxylamine,5713,37,WT
70,hydroxycarbamate NIST,575,37,WT
71,homoserine,801,37,WT
72,histidine,151498,37,WT
73,hexose-6-phosphate,308,37,WT
74,heptadecanoic acid,1456,37,WT
75,guanosine,361,37,WT
76,guanine,749,37,WT
77,glycyl-proline,1761,37,WT
78,glycyl tyrosine,701,37,WT
79,glycolic acid,901,37,WT
80,glycine,136952,37,WT
81,glycerol-alpha-phosphate,36888,37,WT
82,glycerol-3-galactoside,396,37,WT
83,glycerol,1244014,37,WT
84,glyceric acid,1836,37,WT
85,glutamine,83379,37,WT
86,glutamic acid,425993,37,WT
87,glucose-6-phosphate,443,37,WT
88,glucose-1-phosphate,1186,37,WT
89,glucose,2216,37,WT
90,gluconic acid,251,37,WT
91,galactose,888,37,WT
92,galactinol,5827,37,WT
93,fumaric acid,7105,37,WT
94,fructose-6-phosphate,403,37,WT
95,fructose,200,37,WT
96,ethanol phosphate NIST,1349,37,WT
97,ergosterol,511,37,WT
98,cytidine-5-monophosphate,380,37,WT
99,cysteine-glycine,1432,37,WT
100,cysteine,465,37,WT
101,conduritol-beta-epoxide,285,37,WT
102,citrulline,6473,37,WT
103,citric acid,152171,37,WT
104,butyrolactam NIST,1521,37,WT
105,"butane-2,3-diol NIST",743,37,WT
106,biphenyl,550,37,WT
107,beta-mannosylglycerate,1242,37,WT
108,beta-glycerolphosphate,415,37,WT
109,aspartic acid,76969,37,WT
110,asparagine,17026,37,WT
111,arachidic acid,2338,37,WT
112,aminomalonate,773,37,WT
113,alpha-ketoglutarate,248,37,WT
114,allothreonine,2444,37,WT
115,alanine-alanine,3029,37,WT
116,alanine,700315,37,WT
117,adrenaline,1661,37,WT
118,adenosine-5-monophosphate,9870,37,WT
119,adenosine,4991,37,WT
120,adenine,4414,37,WT
121,aconitic acid,417,37,WT
122,5-methoxytryptamine,1092,37,WT
123,5'-deoxy-5'-methylthioadenosine,363,37,WT
124,4-aminobutyric acid,2006,37,WT
125,3-phosphoglycerate,725,37,WT
126,3-hydroxy-3-methylglutaric acid,285,37,WT
127,3-aminoisobutyric acid,328,37,WT
128,2-methylglyceric acid NIST,3147,37,WT
129,2-hydroxyglutaric acid,684,37,WT
130,"2,5-dihydroxypyrazine NIST",1310,37,WT
0,xanthine,965,37,WT
1,valine,315981,37,WT
2,uridine-5'-monophosphate,2258,37,WT
3,uridine,314,37,WT
4,urea,25832,37,WT
5,uracil,3565,37,WT
6,UDP-N-acetylglucosamine,785,37,WT
7,tyrosol,4466,37,WT
8,tyrosine,146861,37,WT
9,tryptophan,16863,37,WT
10,trehalose-6-phosphate,109,37,WT
11,trehalose,642044,37,WT
12,trans-4-hydroxyproline,3270,37,WT
13,thymine,323,37,WT
14,threonine,96840,37,WT
15,sulfuric acid,137,37,WT
16,sucrose,34,37,WT
17,succinic acid,9543,37,WT
18,stearic acid,76304,37,WT
19,spermidine,5299,37,WT
20,sorbitol,573,37,WT
21,serine,122000,37,WT
22,saccharopine,33544,37,WT
23,ribonic acid,271,37,WT
24,ribitol,439,37,WT
25,pyruvic acid,249,37,WT
26,pyrophosphate ,115096,37,WT
27,putrescine,1198,37,WT
28,pseudo uridine,845,37,WT
29,"propane-1,3-diol NIST",296,37,WT
30,proline,555885,37,WT
31,pipecolinic acid,3626,37,WT
32,phosphogluconic acid,549,37,WT
33,phosphoenolpyruvate,562,37,WT
34,phosphate,12410,37,WT
35,phenylalanine,101471,37,WT
36,pentadecanoic acid,1275,37,WT
37,pelargonic acid,13407,37,WT
38,parabanic acid NIST,1032,37,WT
39,palmitoleic acid,2355,37,WT
40,palmitic acid,13206,37,WT
41,oxoproline,233086,37,WT
42,oxalic acid,240,37,WT
43,orotic acid,512,37,WT
44,ornithine,425966,37,WT
45,oleic acid,727,37,WT
46,N-methylalanine,7611,37,WT
47,nicotinic acid,2832,37,WT
48,nicotinamide,925,37,WT
49,n-epsilon-trimethyllysine,851,37,WT
50,N-carbamylglutamate,356,37,WT
51,myristic acid,747,37,WT
52,myo-inositol,15857,37,WT
53,methionine sulfoxide,24355,37,WT
54,methionine,14701,37,WT
55,methanolphosphate,13757,37,WT
56,malic acid,14349,37,WT
57,maleimide,2115,37,WT
58,lysine,1085260,37,WT
59,levoglucosan,643,37,WT
60,leucine,315021,37,WT
61,lauric acid,3827,37,WT
62,lactulose,203,37,WT
63,lactic acid,678,37,WT
64,isothreonic acid,950,37,WT
65,isoleucine,367887,37,WT
66,isocitric acid,2997,37,WT
67,inositol-4-monophosphate,146,37,WT
68,inosine,270,37,WT
69,hydroxylamine,5735,37,WT
70,hydroxycarbamate NIST,715,37,WT
71,homoserine,844,37,WT
72,histidine,18840,37,WT
73,hexose-6-phosphate,230,37,WT
74,heptadecanoic acid,738,37,WT
75,guanosine,687,37,WT
76,guanine,670,37,WT
77,glycyl-proline,1520,37,WT
78,glycyl tyrosine,740,37,WT
79,glycolic acid,616,37,WT
80,glycine,161150,37,WT
81,glycerol-alpha-phosphate,50787,37,WT
82,glycerol-3-galactoside,513,37,WT
83,glycerol,995706,37,WT
84,glyceric acid,1078,37,WT
85,glutamine,142595,37,WT
86,glutamic acid,706258,37,WT
87,glucose-6-phosphate,540,37,WT
88,glucose-1-phosphate,1069,37,WT
89,glucose,4624,37,WT
90,gluconic acid,212,37,WT
91,galactose,4085,37,WT
92,galactinol,12147,37,WT
93,fumaric acid,13073,37,WT
94,fructose-6-phosphate,490,37,WT
95,fructose,120,37,WT
96,ethanol phosphate NIST,1850,37,WT
97,ergosterol,778,37,WT
98,cytidine-5-monophosphate,266,37,WT
99,cysteine-glycine,2206,37,WT
100,cysteine,2477,37,WT
101,conduritol-beta-epoxide,283,37,WT
102,citrulline,11463,37,WT
103,citric acid,269678,37,WT
104,butyrolactam NIST,1029,37,WT
105,"butane-2,3-diol NIST",529,37,WT
